"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"BE-02-02-01-06","Assets and resources' effect on TANF benefits eligibility","This category covers how a family's assets and resources may affect whether they are eligible to receive Temporary Assistance for Needy Families (TANF) benefits, and how the assets and resources are calculated, including homes, property, other benefits, savings accounts, and other things.","BE-02-02-01-03",,"NSMI v1 Taxonomy [1710400]"
"BE-02-02-03-00","Amount of money received through TANF","This category concerns how much money a family receives through the Temporary Assistance for Needy Families (TANF) program and how this is calculated. This includes situations when the benefit amount is calculated only based on children, and not on adults in the family.","BE-02-02-00-00",,"NSMI v1 Taxonomy [1710500]"
"BE-02-02-03-01","Child-Only TANF benefit calculations","This category covers situations when the Temporary Assistance for Needy Families (TANF) program provides financial benefits based only on the children in the family, rather than adults. This could be when children live with relatives or nonrelatives instead of their parents, or if their parents are ineligible for TANF for non-income reasons.","BE-02-02-03-00",,"NSMI v1 Taxonomy [1710800]"
"BE-02-02-03-02","Child exclusions and family caps for TANF benefit calculations","This category covers situations in which a family receives support through the Temporary Assistance for Needy Families (TANF) program, but does not get extra money for certain children in the family. This could be because of a state's family cap or child exclusion policy, for instance when a family on TANF has another child and that child is considered ineligible for TANF (and the family's benefit amount remains the same).","BE-02-02-03-00",,"NSMI v1 Taxonomy [1710700]"
"BE-02-02-04-00","TANF and child support obligations","This category covers situations in which parents receive benefits through the Temporary Assistance for Needy Families (TANF) program, and the effect it has on their child support rights and obligations. This could include working with the state to identify the other parent, establish paternity, settle child support orders, complete child support modifications, enforce child support, and assign child support collections to the state.","BE-02-02-00-00, FA-05-00-00-00",,"NSMI v1 Taxonomy [1380100]"
"BE-03-02-11-00","Medicaid and child support obligations","This category covers situations in which parents receive benefits through the Medicaid program, and the effect it has on their child support rights and obligations. This could include working with the state to identify the other parent, establish paternity, settle child support orders, complete child support modifications, enforce child support, and assign child support collections to the state.","BE-03-02-00-00",,
"BE-02-02-05-00","TANF diversion programs","This category covers state programs that mean to divert people away from enrolling for the Temporary Assistance for Needy Families (TANF) program, and instead go through diversion programs that encourage work, or give lump-sum payments or vouchers.  These often are temporary support programs that encourage rapid employment. It could be under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996 (PRWORA).","BE-02-02-00-00",,"NSMI v1 Taxonomy [1711000]"
"BE-02-02-06-00","Appealing a TANF benefits decision","This category covers whether and how a person can appeal a decision made by a Temporary Assistance for Needy Families (TANF) program. This could be appealing an eligibility determination, termination of benefits, the calculation of benefits, denial of benefits, or other decisions.","BE-02-02-00-00, CO-04-00-00-00",,
"BE-02-02-06-01","Due process protections around TANF","This category covers what rights a person has to receive notices and hearings around Temporary Assistance for Needy Families (TANF) program benefits. This could be if they have been denied benefits, terminated from the program, or another decision by the program. This category covers whether they are entitled to notices and hearings about these decisions, and how they might be able to challenge them before their benefit is taken away.","BE-02-02-06-00, CO-07-10-01-00",,"NSMI v1 Taxonomy [1711100]"
"BE-02-02-07-00","Receiving TANF benefits through electronic benefits transfer (EBT)","This category covers issues with receiving the correct amount of money from the Temporary Assistance for Needy Families (TANF) program, and accessing the funds through electronic benefits transfer (EBT) card or account.","BE-02-02-00-00",,"NSMI v1 Taxonomy [ 1711300]"
"BE-02-02-08-00","Emergency TANF benefits","This category covers how a family might be able to get emergency funds through the Temporary Assistance for Needy Families (TANF) program. These typically are short-term, temporary programs, that may be extended if the family applies for the regular TANF benefits.","BE-02-02-00-00",,"NSMI v1 Taxonomy [1711400]"
"BE-02-02-01-07","Defining the family unit for TANF eligibility","This category covers how the family size is determined when assessing TANF eligibility, including who is considered an essential person and what the family budget unit is.","BE-02-02-01-00",,"NSMI v1 Taxonomy [1711500]"
"BE-02-02-09-00","Fraud in receiving TANF benefits","This category covers situations in which a person receiving the Temporary Assistance for Needy Families (TANF) program benefits is accused of fraud. It covers what is considered fraud, what procedures to investigate and prosecute it might be, how a person can defend themselves from charges of fraud, and what penalties might result. It can also involve reporting fraud. It may be called ""welfare fraud"".","BE-02-02-00-00",,"NSMI v1 Taxonomy [1711600]"
"BE-02-02-01-08","Immigrants' Eligibility for TANF benefits","This category covers whether and if non-citizens in the US are able to receive benefits through the Temporary Assistance for Needy Families (TANF) program.","BE-02-02-01-00, IM-03-00-00-00",,"NSMI v1 Taxonomy [1711201]"
"BE-02-02-10-00","Requirements to stay on TANF benefits","This category covers what a person must do to stay on TANF benefits after they have been accepted to receive them. This includes mandatory job search and work requirements, as well as efforts to work towards goals.","BE-02-02-00-00",,"NSMI v1 Taxonomy [1713200], NSMI v1 Taxonomy [1713299]"
"BE-02-02-10-01","Job search requirements for TANF benefits","This category covers a person's requirements to conduct job searches in order to stay on TANF benefits. This includes how a person can choose which kind of job search they do -- through a county assistance office or a contracted agency -- and how they must follow the rules to continue getting benefits.","BE-02-02-10-00",,"NSMI v1 Taxonomy [1711900]"
"BE-02-02-05-01","Lump Sum Payments to TANF applicants","This category covers the option of a TANF (Temporary Assistance for Needy Families) applicant to receive lump sum payments as a diversion from the program. The lump sum gives a one-time amount of money to a family to address the situation that has led them to apply for TANF. It would be a diversion from enrolling in typical TANF benefits.","BE-02-02-05-00",,"NSMI v1 Taxonomy [1712000]"
"BE-02-02-11-00","Over- or Under-payment of TANF Benefits","This category covers issues that TANF benefit recipients may have, with an incorrect amount of money they've received through the program. It could be when the program notifies them of an overpayment and recoupment problem, or when they feel they are being underpaid.","BE-02-02-00-00",,
"BE-02-02-11-01","Overpayment and Recoupment of TANF Benefits","This category covers situations when a TANF recipient has been overpaid with benefits, or the agency has told them that there has been an overpayment and are going to recoup the overpaid money.","BE-02-02-11-00",,"NSMI v1 Taxonomy [1712100]"
"BE-02-02-11-02","Underpayment of TANF benefits","This category covers situations when a TANF recipient has not been paid the benefit amount that they were supposed to receive. It covers what options they have to try to resolve the situation and get the right amount of benefits.","BE-02-02-11-00",,"NSMI v1 Taxonomy [1713000]"
"BE-02-02-01-09","Residency requirements to receive TANF","This category covers the state or country residence requirements to be eligible for Temporary Assistance for Needy Families (TANF) benefits. Each state's agency can set the rules of who in their state can receive TANF from them, how to show this, and how to contest a denial based on residency.","BE-02-02-01-00",,"NSMI v1 Taxonomy [1712200]"
"BE-02-02-03-03","Money sanctions for TANF recipients","This category covers situations when a family receiving Temporary Assistance for Needy Families (TANF) benefits receives a sanction that reduces the amount of money they receive. There may be a sanction if the adult in the family does not follow work requirements.","BE-02-02-03-00, BE-02-02-10-00",,"NSMI v1 Taxonomy [1712300]"
"BE-02-02-03-04","Housing or Shelter Allowance on TANF","This category covers what additional money a recipient of Temporary Assistance for Needy Families (TANF) benefits may get, to cover costs of housing or shelter.","BE-02-02-03-00",,"NSMI v1 Taxonomy [1712400]"
"BE-02-02-03-05","TANF standards to calculate financial need","This category covers the 'standard of need' determination that Temporary Assistance for Needy Families (TANF) programs use to decide on whether a family is eligible to receive benefits, and how much they should receive.","BE-02-02-01-00, BE-02-02-03-00",,"NSMI v1 Taxonomy [1712500]"
"BE-02-02-03-06","TANF amounts for support services","This category covers the extra support services benefits that recipients of the Temporary Assistance for Needy Families (TANF) program can get to cover other costs they need.","BE-02-02-03-00",,"NSMI v1 Taxonomy [1712600]"
"BE-02-02-01-11","Teen parents' eligibility for TANF","This category covers situations when a teen parent is applying for Temporary Assistance for Needy Families (TANF) benefits, and how they might be eligible for TANF.","BE-02-02-01-00",,"NSMI v1 Taxonomy [1390200]"
"BE-02-02-12-00","Termination of TANF benefits","This category covers what happens if a family's Temporary Assistance for Needy Families (TANF) benefits are canceled or terminated. It also covers how this could be challenged.","BE-02-02-00-00",,"NSMI v1 Taxonomy [1712800]"
"BE-02-02-12-01","Time limit on receiving TANF","This category covers the time limit on how long a person can receive Temporary Assistance for Needy Families (TANF) benefits. The TANF benefits may expire after a certain amount of months set by the government.","BE-02-02-12-00",,"NSMI v1 Taxonomy [1712900]"
"BE-02-02-10-04","TANF Assessments and Individual Responsibility Plans","This category covers TANF recipients' requirements to create an individual responsibility plan, go through screening and assessments, and follow these plans to stay on benefits.","BE-02-02-10-00",,"NSMI v1 Taxonomy [1713201]"
"BE-02-02-10-05","TANF work requirements and education or vocational training","This category covers how a recipient of TANF benefits may do vocational training or education to count as work activity requirements to continue receiving benefits.","BE-02-02-10-00",,"NSMI v1 Taxonomy [1713203], NSMI v1 Taxonomy [1713205], NSMI v1 Taxonomy [1713206]"
"NA-03-02-00-00","Native American children's custody by non-parents (Indian Child Welfare Act)","This category covers the rules and protections of how Native American children's custody may be changed, including under the Indian Child Welfare Act that sets state court rules about child custody. This could be around adoption, foster care placement, termination of parental rights, when a 3rd party (non-parent) files for custody, or other situations when a Native American child is placed outside their home.","NA-03-00-00-00",,"NSMI v1 Taxonomy [1920100]"
"NA-08-01-00-00","Native American hunting and fishing rights","This category covers what special rights that Native Americans have to hunt and fish on their own territory and other places.","NA-08-00-00-00, NA-01-00-00-00",,"NSMI v1 Taxonomy [1920400]"
"NA-09-01-00-00","Indian Health Service","This category covers issues around the Indian Health Service agency, that provides medical help and public health services to Native Americans and Alaska Native people.","NA-09-00-00-00, NA-07-00-00-00",,"NSMI v1 Taxonomy [1921100]"
"NA-01-01-00-00","Jurisdiction of Native American tribes","This category covers issues around what jurisdiction Native American tribal governments and courts might have over legal questions, cases, crimes, and other matters of government and law. This also covers who has jurisdiction on Indian reservations, and what laws apply to Native American tribe members.","NA-01-00-00-00",,"NSMI v1 Taxonomy [1920500]"
"NA-01-02-00-00","Native American reservations","This category covers issues around Native American reservations, who can live there, what protections they have, and what happens with the and natural resources there.","NA-01-00-00-00",,"NSMI v1 Taxonomy [1920900]"
"NA-01-03-00-00","Sovereignty of Native American tribes","This category covers issues around the rights of Native Americans and Alaska Natives to have tribal sovereignty, in order to govern themselves. This includes rights under the US Constitution to have their own government and powers akin to federal and state governments.","NA-01-00-00-00",,"NSMI v1 Taxonomy [1920600]"
"NA-01-04-00-00","Treaties and Native Americans","This category covers what treaties set laws, obligations, and rules for Native American tribes and the US government under the ""Indian treaties"", including guaranteed protections for education, health care, housing, and other services, as well as the management of natural resources and land.","NA-01-00-00-00",,"NSMI v1 Taxonomy [1920700]"
"NA-01-05-00-00","Tribal Government","This category covers what government structures exist for Native Americans and Native Alaskans, how they relate to US federal and state governments, how they establish laws, and how they administer benefits and other services.","NA-01-00-00-00, GO-00-00-00-00",,"NSMI v1 Taxonomy [1920800]"
"NA-07-01-00-00","Tribal TANF","This category covers options for American Indians and Alaska Natives to receive Temporary Assistance for Needy Families (TANF) through a specific benefits program called Tribal TANF. This provides cash aids and supportive services to needy children and families who apply.","NA-07-00-00-00, BE-02-02-00-00",,"NSMI v1 Taxonomy [1921300]"
"ED-07-02-00-00","Protections for students with disabilities","This category covers rights and protections for students with disabilities. This includes protection under the Individuals with Disabilities Education Ac (ADA), Section 504 civil rights law, and the ADA.","ED-07-00-00-00, ED-05-00-00-00",,"NSMI v1 Taxonomy [1130100]"
"ED-10-00-00-00","Language access to education","This category covers issues of getting public education that is bilingual or that is accessible to students with limited English proficiency.","RI-21-00-00-00, ED-05-00-00-00",,"NSMI v1 Taxonomy [1140100]"
"ED-05-01-00-00","Desegregation of schools","This category covers issues with programs to desegregate school systems, or about options to promote desegregation to ensure equal access to quality education.","ED-05-00-00-00",,"NSMI v1 Taxonomy [1190200]"
"ED-04-01-00-00","Expulsion from school","This category covers a student and parent's options and rights when the school is trying to expel the student.","ED-04-00-00-00",,"NSMI v1 Taxonomy [1120100]"
"ED-04-02-00-00","Suspension from school","This category covers a student or parent's rights when the school is trying to suspend the student from school.","ED-04-00-00-00",,"NSMI v1 Taxonomy [1120200]"
"ED-05-02-00-00","Exclusion of students from activities","This category covers options for a student and parents if the student is being excluded from activities, like field trips, school programs, or other activities at the school.","ED-05-00-00-00",,"NSMI v1 Taxonomy [1140200]"
"ED-03-01-00-00","Fees for educational programs","This category covers issues for students or their families regarding covering fees at their school","ED-03-00-00-00",,"NSMI v1 Taxonomy [1190300]"
"ED-02-02-00-00","Head Start services for families","This category covers students' and families' options around the Head Start Program from the US Department of Health and Human Services, that provides early childhood education, health, nutrition, and parenting services to low-income families and children. This covers who is eligible, how to apply, and how to receive services.","ED-02-00-00-00",,"NSMI v1 Taxonomy [1190400], Wikidata Taxonomy [Q10973208]"
"ED-03-03-00-00","Vouchers to pay for private education","This category covers situations in which a family wants to get vouchers from the government to cover the costs of tuition at private schools. Not all states offer school vouchers. This covers how to get traditional vouchers, education saving accounts (ESAs) or tax credit scholarships.  It covers eligibility for vouchers, enrollment with a voucher, discipline, and special education needs.","ED-03-00-00-00",,"NSMI v1 Taxonomy [1190700]"
"ED-11-00-00-00","Quality of education for student with disability","This category covers issues with the quality of education that a student is receiving, and how that standard is defined or how the quality of the education a school is providing can be challenged.","ED-07-00-00-00",,"NSMI v1 Taxonomy [1190800]"
"ED-07-03-00-00","Individual Education Plans","This category covers issues around Individual Education Plans, or IEP's, to get quality education for a child's needs, particularly to deal with special needs or disability issues. This can cover how a parent can advocate for a student, make an IEP, make sure it is being followed, and have it changed as needed.","ED-07-00-00-00",,
"ED-12-00-00-00","Students' Educational Records","This category covers how a student or parents can access their educational records, including in order to advocate for an individual education plan or challenge the quality of education being received.","ED-00-00-00-00, ED-07-00-00-00",,"NSMI v1 Taxonomy [1191000]"
"ED-04-03-00-00","Truancy and attendance","This category covers issues when a student has issues with attending school, skipping school, or being truant. This includes what consequences the student and their family, parents, and guardians may face if there is a problem with truancy. This includes how a school may notify the parents of truancy, visits to the home by an officer, meetings at school, and the possibility of going to the juvenile justice system.","ED-04-00-00-00, CR-10-00-00-00",,"NSMI v1 Taxonomy [1191100]"
"ED-09-01-00-00","School funding for quality education","This category covers what funding schools can get, like under Title I, especially for low-income students to improve their educational outcomes.","ED-09-00-00-00, ED-07-00-00-00",,"NSMI v1 Taxonomy [1191200]"
"ED-05-05-00-00","Discrimination based on sex/gender at a school (Title IX)","This category covers situations when a student feels they may be facing discrimination based on their sex in an educational program or activity that receives federal financial assistance, under the Title IX law. This could be that they're excluded from participation in a program, denied benefits, or subjected to discrimination.","ED-05-00-00-00, RI-11-00-00-00",,"NSMI v1 Taxonomy [1191300]"
"ED-01-01-00-00","Vocational education","This category covers issues around vocational education, including requirements around receiving benefits or government support dependent on vocational educational and job training.","ED-01-00-00-00, BE-02-02-10-05",,"NSMI v1 Taxonomy [1150000], Legal Services Corporation Taxonomy [15], Legal Server Index Taxonomy [LS002-00015]"
"CR-01-01-00-00","Being a witness to a crime","This category covers rights, protections, and obligations of a person who has witnessed a crime.","CR-01-00-00-00",,"NSMI v1 Taxonomy [2043300]"
"CR-01-02-00-00","Victim's Rights","This category covers what rights a crime victim has, or that their survivors or family have.","CR-01-00-00-00",,"NSMI v1 Taxonomy [2041700]"
"CR-01-04-00-00","Witness Identification of suspects","This category covers how witnesses may be asked to identify a suspect through police lineups, photographs, or show-ups. It also covers how this ID procedure may be challenged as unreliable.","CR-01-00-00-00, CR-12-00-00-00, CR-16-00-00-00",,"NSMI v1 Taxonomy [2043200]"
"CR-08-01-00-00","Appealing criminal court's decision","This category covers how a criminal defendant may appeal the court's decision, and what the court procedure is for appeals.","CR-08-00-00-00, CR-02-00-00-00, CO-07-02-00-00",,"NSMI v1 Taxonomy [2040300], NSMI v1 Taxonomy [2040399]"
"CR-08-01-01-00","Courts of appeal","This category covers the court procedure of appealing a criminal court's decision, including which court of appeals or intermediate appellate court a defendant can take their appeal to.","CR-08-01-00-00",,"NSMI v1 Taxonomy [2040320], NSMI v1 Taxonomy [2040330]"
"CR-08-01-02-00","Preservation of error in a criminal case to have appeal","This category covers the options of a defendant in a criminal court to preserve an error, by raising them during litigation and trial so they could later raise them for review in an appeal to an appellate court. It also covers what happens if this process has not been done correctly, and if the appellate court says the opportunity to appeal has been waived.","CR-08-01-00-00",,"NSMI v1 Taxonomy [2040310]"
"CR-02-01-01-00","Clemency process for granting a pardon or reduction","This category covers the process called 'clemency' in which a government official or body reduces a person's criminal sentence or grants them a pardon. This could include clemency for death penalty cases. It also includes how a person can petition the governor, president, or other government body to grant them clemency.","CR-02-01-00-00",,"NSMI v1 Taxonomy [2042400]"
"CR-08-02-00-00","Criminal trial process","This category covers how criminal trials proceed, some of the issues and technical/procedural key stages, and how a defendant can protect their rights or victims and their families may be able to participate.","CR-08-00-00-00",,"NSMI v1 Taxonomy [2041600], NSMI v1 Taxonomy [2041699]"
"CR-08-02-01-00","Criminal trial jury selection","This category covers how a jury can be selected in a criminal trial, and what challenges or issues may arise.","CR-08-02-00-00",,"NSMI v1 Taxonomy [2041610]"
"CR-08-02-02-00","Jury instructions in a criminal trial","This category covers what instructions are given to jurors in a criminal jury trial, that lets them know what they should be paying attention to and how they should make their decision.","CR-08-02-00-00",,"NSMI v1 Taxonomy [2041630]"
"CR-08-02-03-00","Lawyers' arguments and behavior during criminal trial","This category covers issues about how lawyers behave during a criminal trial, including for the prosecution and defense. This covers issues about their conduct or problems with it, and what they can include in their arguments.","CR-08-02-00-00, CO-09-05-00-00",,"NSMI v1 Taxonomy [2041620]"
"CR-13-01-00-00","Crimes against property","This category covers crimes that are against property (and not against a person). This could include burglary, vandalism, arson or theft in which a person's property is stolen or destroyed.","CR-13-00-00-00",,"NSMI v1 Taxonomy [2041501]"
"CR-13-02-00-00","Crimes against a person","This category covers the types of crime in which people are directly harmed, including murder, rape, or assault. This is as opposed to crimes against property in which the crime harms a person's relationship with their property.","CR-13-00-00-00",,"NSMI v1 Taxonomy [2041502]"
"CR-01-05-00-00","Crime Victim Compensation","This category covers what financial compensation a crime victim may be entitled to, and how to claim it.","CR-01-00-00-00",,"NSMI v1 Taxonomy [2040100]"
"CR-08-01-03-00","Collateral appeal to court after conviction","This category covers options for a defendant to make a 'collateral appeal' (rather than a direct appeal) after being convicted, to challenge their imprisonment or the guilty verdict. This could be through a petition for habeas corpus, a position for a new trial, a motion to void correct sentence, or claim ineffective assistance of counsel.","CR-08-01-00-00",,"NSMI v1 Taxonomy [2041800], NSMI v1 Taxonomy [2041899]"
"CR-08-01-04-00","Appealing based on ineffective assistance of counsel","This category covers how a criminal defendant can appeal their verdict by claiming that their defense lawyer did not correctly and fully represent them at trial, by claiming ineffective assistance of counsel in an appeal. This could be through a collateral review process.","CR-08-01-00-00, CR-04-00-00-00",,"NSMI v1 Taxonomy [2041810], NSMI v1 Taxonomy [2040900]"
"CR-03-01-00-00","Coercion of a confession","This category covers situations when a person makes a statement to the police or others, and feels that they have been coerced to make a statement that incriminates them. This covers how they may challenge the reliability of the statement or confession based on coercion.","CR-03-00-00-00",,"NSMI v1 Taxonomy [2040401]"
"CR-03-02-00-00","False confessions","This category covers situations in which a suspect or criminal defendant might have made a false confession, or wants to challenge the statement they have given to be false.","CR-03-00-00-00",,"NSMI v1 Taxonomy [2040402]"
"CR-03-03-00-00","Challenging a confession based on mental capacity","This category covers issues with a suspect or defendant's confession to a crime, based on their mental capacity. It includes how the confession could be challenged based on mental capacity. This also includes protections for people with mental disabilities who make statements to the police.","CR-03-02-00-00",,"NSMI v1 Taxonomy [2040403]"
"CR-08-04-00-00","Right to challenge witnesses","This category covers criminal defendants' rights under the US Constitution's Confrontation Clause to challenge the prosecution's witnesses and to dispute their testimony.","CR-08-00-00-00",,"NSMI v1 Taxonomy [2040500]"
"CR-04-01-00-00","Quality of criminal lawyer's work and ineffective assistance of counsel","This category covers issues with how well a defendant is represented by their lawyer, and whether they can claim ineffective assistance of counsel to challenge their trial's outcome in court.","CR-04-00-00-00",,"NSMI v1 Taxonomy [2040900]"
"CR-08-05-00-00","Defenses against criminal charges","This category covers what defenses a person can raise when they are charged with a crime and on trial.","CR-08-00-00-00",,"NSMI v1 Taxonomy [2040200], NSMI v1 Taxonomy [2040600], NSMI v1 Taxonomy [2040699]"
"CR-08-05-01-00","Criminal defense around lack of capacity or insanity","This category covers a possible criminal defense of saying the defendant lacked capacity or sanity, and so cannot be guilty.","CR-08-05-00-00",,"NSMI v1 Taxonomy [2040602]"
"CR-08-05-02-00","Self-defense as a criminal defense","This category covers how a criminal defendant may defend themselves at trial by claiming self-defense as the reason they violated the law.","CR-08-05-00-00",,"NSMI v1 Taxonomy [2040601]"
"CR-08-03-00-00","Evidence at a criminal trial","This category covers what kind of evidence can be brought into a criminal trial, how it can be challenged, and what it can be used for.","CR-08-00-00-00, CO-05-00-00-00",,"NSMI v1 Taxonomy [2042600]"
"CR-08-03-01-00","Forensic evidence about a crime","This category covers what kinds of forensic evidence can be brought into a criminal trial, including ballistics, blood tests, DNA tests, and other tests from scientific methods that can show guilt or innocence.","CR-08-03-00-00",,"NSMI v1 Taxonomy [2042610], NSMI v1 Taxonomy [2042619]"
"CR-08-03-01-01","Ballistics evidence","This category covers how ballistic evidence can be brought into a criminal trial to analyze how weapons have been used and what that means for a person's guilt or innocence.","CR-08-03-01-00",,"NSMI v1 Taxonomy [2042611]"
"CR-08-03-02-00","Hair and fiber evidence","This category covers how evidence about hair and fiber may be brought into a criminal trial to prove a person's guilt or innocence.","CR-08-03-01-00",,"NSMI v1 Taxonomy [ 2042614]"
"CR-08-03-01-02","Fingerprint and impression evidence","This category covers what kinds of fingerprint or other impression evidence can be brought into a criminal trial to prove a defendant's guilt or innocence.","CR-08-03-01-00",,"NSMI v1 Taxonomy [2042613]"
"CR-08-03-03-00","Expert testimony at a criminal trial","This category covers how experts may be brought into a criminal trial to discuss evidence or opinions about the defendant's guilt or innocence.","CR-08-03-00-00",,"NSMI v1 Taxonomy [2042615]"
"CR-08-03-01-04","Blood and body fluid evidence","This category covers serology evidence, about blood or other body fluids, used at a criminal trial to show guilt or innocence of a criminal defendant.","CR-08-03-01-00",,"NSMI v1 Taxonomy [2042612]"
"CR-08-03-04-00","Genetic evidence at a criminal trial","This category covers what kind of genetic evidence can be brought into a criminal trial to show a defendant's guilt or innocence. This includes DNA evidence.","CR-08-03-00-00",,"NSMI v1 Taxonomy [2042620], NSMI v1 Taxonomy [2042629], NSMI v1 Taxonomy [2042622]"
"CR-08-03-04-01","DNA evidence at a criminal trial","This category covers how DNA evidence might be brought into a criminal trial to prove a defendant's guilt or innocence.","CR-08-03-04-00",,"NSMI v1 Taxonomy [2042621]"
"CR-08-03-04-02","Challenging genetic evidence as junk science","This category covers how evidence at a criminal trial can be challenged as junk science.","CR-08-03-04-00",,"NSMI v1 Taxonomy [2042623]"
"CR-08-06-00-00","Grand Juries and being indicted for a crime","This category covers how a grand jury works to formally charge a person with committing a crime, as an indictment. This covers how grand juries work, what is allowed in a grand jury hearing, how to challenge their fairness, and how private or public they are.","CR-08-00-00-00, CR-16-00-00-00",,"NSMI v1 Taxonomy [2041900]"
"CR-12-03-01-00","Procedure for filing habeas corpus petition","This category covers how a person can file a petition for habeas corpus, challenging their detention or imprisonment.","CR-11-00-00-00",,"NSMI v1 Taxonomy [2040830]"
"CR-11-01-00-00","Supporting a petition for habeas corpus","This category covers how one can support a suspect or defendant's petition for habeas corpus, to challenge if their detention is against the law.","CR-11-00-00-00",,"NSMI v1 Taxonomy [2040820]"
"CR-11-02-00-00","Opposing a petition for habeas corpus","This category covers how one can oppose a suspect or defendant's petition for habeas corpus, to challenge if their detention is against the law.","CR-11-00-00-00",,"NSMI v1 Taxonomy [2040840]"
"CR-11-03-00-00","Review of a habeas corpus petition","This category covers how a court will review a person's habeas corpus petition.","CR-11-00-00-00",,"NSMI v1 Taxonomy [2040810]"
"CR-05-01-00-00","Line-up procedures in a criminal investigation","This category covers the required procedure for line-ups of possible suspects and others, so that a witness or victim can identify them.","CR-05-00-00-00",,"NSMI v1 Taxonomy [2042001]"
"CR-16-00-00-00","Being investigated for a crime","This category covers situations in which a person may be a suspect for a crime, before they have been charged or indicted with a crime.  This covers how police may try to gather evidence, get statements, find witnesses, and get identifications. This covers what protections and procedure a person can expect.","CR-00-00-00-00",,
"CR-05-02-00-00","Misidentification during a line-up","This category covers situations in which a witness may have mistakenly identified someone in a line-up as someone responsible for a crime. This includes how the suspect can defend themselves and challenge the identification.","CR-05-00-00-00",,"NSMI v1 Taxonomy [2042002]"
"CR-08-07-00-00","Make motion for a new trial","This category covers how a person on trial for a crime can make a motion to ask for a new trial, based on some problem that has happened during the current one.","CR-08-00-00-00",,"NSMI v1 Taxonomy [2041000]"
"CR-12-03-00-00","Encounters with the police","This category covers what rights and options a person has when they interact with the police. This covers being stopped on foot, in a car, or other places. It also covers rights of someone who is a suspect or who is not.","CR-12-00-00-00, CR-16-00-00-00",,"NSMI v1 Taxonomy [2041100]"
"CR-12-06-00-00","Police or prosecutors' misconduct","This category covers situations in which a person believes the police or prosecutor has behaved incorrectly or unethically. This covers what options there are for challenging misconduct, what procedure may result, and what outcomes may happen.","CR-12-00-00-00, CO-09-05-00-00",,"NSMI v1 Taxonomy [2042800], NSMI v1 Taxonomy [2042899]"
"CR-12-06-01-00","Prosecutor failing to disclose evidence (Brady Violation)","This category covers situations in which a prosecutor or government agent fails to disclose evidence during a criminal proceeding, when that evidence could have materially favored the defendant. This is called a Brady violation, and it might be used to challenge the case and verdict by the defense.","CR-12-00-00-00",,"NSMI v1 Taxonomy [2042810]"
"CR-12-06-02-00","Misconduct cases against police or prosecutors","This category covers how a police officer or prosecutor may be investigated or sued for misconduct. This includes how a person may file a civil case against a police officer for misconduct.","CR-12-06-00-00, TO-04-07-00-00",,"NSMI v1 Taxonomy [2042820]"
"CR-06-03-00-00","Juvenile Criminal Records","This category covers how records of criminal activity when a person was still a juvenile (not an adult) may be accessed, sealed, or kept confidential.","CR-06-00-00-00, CR-10-00-00-00",,"NSMI v1 Taxonomy [1490500], NSMI v1 Taxonomy [1490504]"
"CR-06-03-01-00","Accessing a juvenile criminal record","This category covers how a person can access their own juvenile criminal record, or how others can access it.","CR-06-03-00-00",,"NSMI v1 Taxonomy [1490501]"
"CR-06-03-02-00","Confidentiality of juvenile criminal records","This category covers the rules about whether juvenile criminal records are protected as confidential or not.","CR-06-03-00-00",,"NSMI v1 Taxonomy [1490502]"
"CR-06-03-03-00","Expungement of juvenile criminal record","This category covers how a person can get their juvenile criminal record expunged, cleaned, or sealed.","CR-06-03-00-00, CR-06-01-00-00",,"NSMI v1 Taxonomy [1490503]"
"CR-08-09-00-00","Requesting a jury for a criminal trial","This category covers how and when a criminal defendant can request to have a jury trial rather than bench trial, and what this choice means. It also covers the defendant's right to have a jury trial.","CR-08-00-00-00",,"NSMI v1 Taxonomy [2041400]"
"CR-08-10-00-00","Sentencing and penalties after being found guilty","This category covers how a person may be sentenced to jail, fines, and other penalties after having been found guilty at a criminal trial. It covers how the sentence is decided on, and how the defendant may try to challenge it.","CR-08-00-00-00, CR-02-00-00-00",,"NSMI v1 Taxonomy [2042100]"
"CR-02-03-00-00","Sex Offender registration","This category covers obligations a person might have to register as a sex offender, after they've been found guilty of a crime. This covers how to register, penalties for not registering, and others' access to it.","CR-02-00-00-00",,"NSMI v1 Taxonomy [2043100]"
"CR-02-04-00-00","Innocence Commissions and laws","This category covers a person's options, after they've been found guilty of a crime, to challenge this conviction with the help of Innocence Commissions or laws that can review a case to stop wrongful convictions or execution of an innocent person.","CR-02-00-00-00, CR-07-00-00-00",,"NSMI v1 Taxonomy [2042920], NSMI v1 Taxonomy [2042930]"
"IM-04-01-00-00","Deferred Action immigration status","This category covers options for an immigrant to get a Deferred Action status, that gives people who are in the US illegally an indefinite delay of their deportation. Deferred Action does not give an immigrant legal status","IM-04-00-00-00",,
"IM-01-01-00-00","Criminal conviction leading to deportation","This category covers if and how a criminal conviction can lead to an immigrant's removal from the United States. It covers the process by which a conviction can lead to deportation, and how a person can appeal or stop the deportation.","IM-01-00-00-00",,"NSMI v1 Taxonomy [1810501]"
